City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahanje,TZ,2022-12-21 04:12:31,-9.9333,35.3333,66.04,89,100,2.19
1,Khandyga,RU,2022-12-21 04:12:32,62.6667,135.6,-27.98,99,71,0.96
2,San Patricio,US,2022-12-21 04:12:32,28.017,-97.5169,55.83,76,100,9.86
3,Victoria,HK,2022-12-21 04:09:25,22.2855,114.1577,69.24,46,100,11.99
4,Hofn,IS,2022-12-21 04:12:33,64.2539,-15.2082,33.6,71,100,39.44
5,Tuatapere,NZ,2022-12-21 04:12:33,-46.1333,167.6833,64.31,55,24,10.6
6,Hermanus,ZA,2022-12-21 04:12:34,-34.4187,19.2345,57.79,69,7,13.82
7,Puerto Ayora,EC,2022-12-21 04:12:34,-0.7393,-90.3518,71.55,96,45,4.92
8,Upernavik,GL,2022-12-21 04:12:34,72.7868,-56.1549,8.71,96,100,14.34
9,Salalah,OM,2022-12-21 04:12:35,17.0151,54.0924,70.88,28,76,12.68
10,Bredasdorp,ZA,2022-12-21 04:12:35,-34.5322,20.0403,60.08,66,17,8.46
11,Punta Arenas,CL,2022-12-21 04:12:36,-53.15,-70.9167,57.11,71,0,6.91
12,Talnakh,RU,2022-12-21 04:12:36,69.4865,88.3972,-20.79,98,100,6.04
13,Provideniya,RU,2022-12-21 04:12:19,64.3833,-173.3,21.31,68,0,29.08
14,Coihaique,CL,2022-12-21 04:12:37,-45.5752,-72.0662,57.15,77,0,3.44
15,Atuona,PF,2022-12-21 04:12:37,-9.8,-139.0333,78.48,79,11,22.12
16,Danville,US,2022-12-21 04:11:24,36.586,-79.395,29.34,83,0,0.0
17,Batagay,RU,2022-12-21 04:12:18,67.6333,134.6333,-30.68,96,53,2.62
18,Dikson,RU,2022-12-21 04:12:38,73.5069,80.5464,-1.43,95,100,8.43
19,Katsina,NG,2022-12-21 04:12:38,12.9894,7.6006,59.77,36,95,11.88
20,Hobart,AU,2022-12-21 04:08:06,-42.8794,147.3294,70.23,60,75,10.36
21,Rikitea,PF,2022-12-21 04:12:39,-23.1203,-134.9692,76.64,86,36,18.28
22,Torbay,CA,2022-12-21 04:12:39,47.6666,-52.7314,35.58,87,34,21.99
23,Caravelas,BR,2022-12-21 04:12:40,-17.7125,-39.2481,74.73,92,96,9.19
24,Petropavlovsk-Kamchatskiy,RU,2022-12-21 04:12:40,53.0452,158.6483,27.19,69,20,2.24
25,Bluff,NZ,2022-12-21 04:12:41,-46.6,168.3333,56.07,72,99,20.04
26,Mandan,US,2022-12-21 04:12:41,46.8267,-100.8896,-10.62,75,100,3.44
27,Turka,UA,2022-12-21 04:09:05,49.1541,23.0297,26.26,68,93,7.96
28,Monrovia,LR,2022-12-21 04:12:00,6.3005,-10.7969,69.57,81,99,3.87
